stk,yr,cyc,rec2,rec3,rec4,rec5,rec,eff,juv
Late Shuswap,2005,1,0,0,0.03575745,0,0.03575745,0.011794,NA
Late Shuswap,2006,2,NA,NA,NA,NA,NA,1.170692,104.566067
Late Shuswap,2007,3,NA,NA,NA,NA,NA,0.032296,NA
Late Shuswap,2008,4,NA,NA,NA,NA,NA,0.000083,NA
Late Shuswap,2009,1,NA,NA,NA,NA,NA,0.020208,NA
Late Shuswap,2010,2,NA,NA,NA,NA,NA,3.073258,NA
Late Shuswap,2011,3,NA,NA,NA,NA,NA,0.046028,NA
Late Shuswap,2012,4,NA,NA,NA,NA,NA,0.000006,NA
Birkenhead,1948,4,0,0,0.179637,0.012353,0.19199,0.054755,NA
Birkenhead,1949,1,0,0.044548,0.228462,0.008696,0.281706,0.043328,NA
Birkenhead,1950,2,0,0.013166,0.183919,0.03083,0.227915,0.04137,NA
Birkenhead,1951,3,0,0.031161,0.107397,0.066404,0.204962,0.013589,NA
Birkenhead,1952,4,0,0.014902,0.180787,0.033154,0.228843,0.024744,NA
Birkenhead,1953,1,0,0.008205,0.102206,0.016671,0.127082,0.016287,NA
Birkenhead,1954,2,0,0.012671,0.128222,0.017949,0.158842,0.008635,NA
Birkenhead,1955,3,0,0.0351,0.22116,0.007193,0.263453,0.008185,NA
Birkenhead,1956,4,0,0.0205,0.209127,0.042071,0.271698,0.027156,NA
Birkenhead,1957,1,0,0.003587,0.037495,0.00534,0.046422,0.007068,NA
Birkenhead,1958,2,0,0.021115,0.074626,0.011443,0.107184,0.00551,NA
Birkenhead,1959,3,0,0.026205,0.188393,0.036763,0.251361,0.011388,NA
Birkenhead,1960,4,0,0.028566,0.119526,0.010607,0.158699,0.019198,NA
Birkenhead,1961,1,0,0.021891,0.067104,0.017364,0.106359,0.01055,NA
Birkenhead,1962,2,0,0.021342,0.066117,0.008304,0.095763,0.014311,NA
Birkenhead,1963,3,0,0.095525,0.281641,0.048565,0.425731,0.020769,NA
Birkenhead,1964,4,0,0.039236,0.225898,0.085137,0.350271,0.027978,NA
Birkenhead,1965,1,0,0.030602,0.109033,0.01477,0.154405,0.009769,NA
Birkenhead,1966,2,0,0.056603,0.155016,0.061319,0.272938,0.013462,NA
Birkenhead,1967,3,0,0.054257,0.365358,0.045896,0.465511,0.01758,NA
Birkenhead,1968,4,0,0.021213,0.218223,0.035366,0.274802,0.031042,NA
Birkenhead,1969,1,0,0.073972,0.451184,0.239195,0.764351,0.014324,NA
Birkenhead,1970,2,0,0.119108,0.531214,0.030799,0.681121,0.019252,NA
Birkenhead,1971,3,0,0.062316,0.245897,0.046347,0.35456,0.016143,NA
Birkenhead,1972,4,0,0.042841,0.424942,0.046655,0.514438,0.026202,NA
Birkenhead,1973,1,0,0.044117,0.140353,0.024973,0.209443,0.028374,NA
Birkenhead,1974,2,0,0.054695,0.424633,0.207538,0.686866,0.085495,NA
Birkenhead,1975,3,0,0.009335,0.080976,0.018616,0.108927,0.019653,NA
Birkenhead,1976,4,0,0.029279,0.479356,0.084392,0.593027,0.050023,NA
Birkenhead,1977,1,0,0.01558,0.28702,0.098126,0.400726,0.012799,NA
Birkenhead,1978,2,0,0.042233,0.493542,0.117215,0.65299,0.048158,NA
Birkenhead,1979,3,0,0.013881,0.273583,0.121177,0.408641,0.035168,NA
Birkenhead,1980,4,0,0.010131,0.115564,0.036212,0.161907,0.032786,NA
Birkenhead,1981,1,0,0.00455,0.105179,0.15643,0.266159,0.027175,NA
Birkenhead,1982,2,0,0.048333,1.471487,0.281339,1.801159,0.072353,NA
Birkenhead,1983,3,0,0.015268,0.625519,0.149561,0.790348,0.021069,NA
Birkenhead,1984,4,0,0.005918,0.347631,0.086729,0.440278,0.023226,NA
Birkenhead,1985,1,0,0.012226,0.123208,0.093098,0.228532,0.005757,NA
